gene_identifier,gene_symbol,name,mapped_ncbi_identifier,n_cells
ENSMUSG00000030088,Aldh1l1,"aldehyde dehydrogenase 1 family, member L1",NCBIGene:107747,990
ENSMUSG00000018604,Tbx3,T-box 3,NCBIGene:21386,348
ENSMUSG00000059173,Pde1a,"phosphodiesterase 1A, calmodulin-dependent",NCBIGene:18573,498
ENSMUSG00000060044,Tmem26,transmembrane protein 26,NCBIGene:327766,131
ENSMUSG00000029591,Ung,uracil DNA glycosylase,NCBIGene:22256,655
ENSMUSG00000036022,Fam122b,"family with sequence similarity 122, member B",NCBIGene:78755,379
ENSMUSG00000079105,C7,complement component 7,NCBIGene:109828,62
ENSMUSG00000021680,Crhbp,corticotropin releasing hormone binding protein,NCBIGene:12919,394
ENSMUSG00000028173,Wls,wntless WNT ligand secretion mediator,NCBIGene:68151,1308
ENSMUSG00000045613,Chrm2,"cholinergic receptor, muscarinic 2, cardiac",NCBIGene:243764,1072
ENSMUSG00000021743,Fezf2,Fez family zinc finger 2,NCBIGene:54713,156
ENSMUSG00000043557,Mdga1,MAM domain containing glycosylphosphatidylinositol anchor 1,NCBIGene:74762,811
ENSMUSG00000042045,Sln,sarcolipin,NCBIGene:66402,104
ENSMUSG00000028909,Ptpru,"protein tyrosine phosphatase, receptor type, U",NCBIGene:19273,415
ENSMUSG00000060429,Sntb1,"syntrophin, basic 1",NCBIGene:20649,426
ENSMUSG00000031492,Chrnb3,"cholinergic receptor, nicotinic, beta polypeptide 3",NCBIGene:108043,129
ENSMUSG00000079173,Zan,zonadhesin,NCBIGene:22635,62
ENSMUSG00000057604,Lmcd1,LIM and cysteine-rich domains 1,NCBIGene:30937,664
ENSMUSG00000017491,Rarb,"retinoic acid receptor, beta",NCBIGene:218772,469
ENSMUSG00000029334,Prkg2,"protein kinase, cGMP-dependent, type II",NCBIGene:19092,592
ENSMUSG00000056380,Gpr50,G-protein-coupled receptor 50,NCBIGene:14765,177
ENSMUSG00000036103,Colec12,collectin sub-family member 12,NCBIGene:140792,419
ENSMUSG00000045991,Onecut2,"one cut domain, family member 2",NCBIGene:225631,74
ENSMUSG00000020123,Avpr1a,arginine vasopressin receptor 1A,NCBIGene:54140,76
ENSMUSG00000039004,Bmp6,bone morphogenetic protein 6,NCBIGene:12161,483
ENSMUSG00000040373,Cacng5,"calcium channel, voltage-dependent, gamma subunit 5",NCBIGene:140723,1467
ENSMUSG00000043850,Clrn1,clarin 1,NCBIGene:229320,113
ENSMUSG00000024565,Sall3,spalt like transcription factor 3,NCBIGene:20689,1225
ENSMUSG00000041272,Tox,thymocyte selection-associated high mobility group box,NCBIGene:252838,678
ENSMUSG00000020963,Tshr,thyroid stimulating hormone receptor,NCBIGene:22095,106
ENSMUSG00000042353,Frem3,Fras1 related extracellular matrix protein 3,NCBIGene:333315,64
ENSMUSG00000028358,Zfp618,zinc finger protein 618,NCBIGene:72701,535
ENSMUSG00000045672,Col27a1,"collagen, type XXVII, alpha 1",NCBIGene:373864,558
ENSMUSG00000022665,Ccdc80,coiled-coil domain containing 80,NCBIGene:67896,300
ENSMUSG00000029338,Antxr2,anthrax toxin receptor 2,NCBIGene:71914,254
ENSMUSG00000027833,Shox2,short stature homeobox 2,NCBIGene:20429,74
ENSMUSG00000031212,Pgr15l,G protein-coupled receptor 15-like,NCBIGene:245526,46
ENSMUSG00000091345,Col6a5,"collagen, type VI, alpha 5",NCBIGene:665033,76
ENSMUSG00000032231,Anxa2,annexin A2,NCBIGene:12306,607
ENSMUSG00000028172,Tacr3,tachykinin receptor 3,NCBIGene:21338,187
ENSMUSG00000046922,Gpr6,G protein-coupled receptor 6,NCBIGene:140741,165
ENSMUSG00000034384,Barhl2,BarH like homeobox 2,NCBIGene:104382,280
ENSMUSG00000026751,Nr5a1,"nuclear receptor subfamily 5, group A, member 1",NCBIGene:26423,39
ENSMUSG00000027360,Hdc,histidine decarboxylase,NCBIGene:15186,112
ENSMUSG00000026355,Mcm6,minichromosome maintenance complex component 6,NCBIGene:17219,353
ENSMUSG00000023367,Tmem176a,transmembrane protein 176A,NCBIGene:66058,574
ENSMUSG00000055214,Pld5,"phospholipase D family, member 5",NCBIGene:319455,559
ENSMUSG00000034997,Htr2a,5-hydroxytryptamine (serotonin) receptor 2A,NCBIGene:15558,512
ENSMUSG00000098097,6530403H02Rik,RIKEN cDNA 6530403H02 gene,,85
ENSMUSG00000000861,Bcl11a,B cell CLL/lymphoma 11A (zinc finger protein),NCBIGene:14025,1284
ENSMUSG00000002804,Nudt14,nudix (nucleoside diphosphate linked moiety X)-type motif 14,NCBIGene:66174,546
ENSMUSG00000075270,Pde11a,phosphodiesterase 11A,NCBIGene:241489,181
ENSMUSG00000054360,Bsx,brain specific homeobox,NCBIGene:244813,82
ENSMUSG00000019913,Sim1,single-minded family bHLH transcription factor 1,NCBIGene:20464,112
ENSMUSG00000026678,Rgs5,regulator of G-protein signaling 5,NCBIGene:19737,791
ENSMUSG00000059857,Ntng1,netrin G1,NCBIGene:80883,799
ENSMUSG00000053965,Pde5a,"phosphodiesterase 5A, cGMP-specific",NCBIGene:242202,534
ENSMUSG00000074637,Sox2,SRY (sex determining region Y)-box 2,NCBIGene:20674,1429
ENSMUSG00000048583,Igf2,insulin-like growth factor 2,NCBIGene:16002,365
ENSMUSG00000029151,Slc30a3,"solute carrier family 30 (zinc transporter), member 3",NCBIGene:22784,317
ENSMUSG00000046178,Nxph1,neurexophilin 1,NCBIGene:18231,1192
ENSMUSG00000051279,Gdf6,growth differentiation factor 6,NCBIGene:242316,445
ENSMUSG00000003545,Fosb,FBJ osteosarcoma oncogene B,NCBIGene:14282,392
ENSMUSG00000028197,Col24a1,"collagen, type XXIV, alpha 1",NCBIGene:71355,754
ENSMUSG00000059325,Hopx,HOP homeobox,NCBIGene:74318,603
ENSMUSG00000017897,Eya2,EYA transcriptional coactivator and phosphatase 2,NCBIGene:14049,425
ENSMUSG00000090061,Nwd2,NACHT and WD repeat domain containing 2,NCBIGene:319807,188
ENSMUSG00000004655,Aqp1,aquaporin 1,NCBIGene:11826,429
ENSMUSG00000047591,Mafa,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein A (avian)",NCBIGene:378435,445
ENSMUSG00000044017,Adgrd1,adhesion G protein-coupled receptor D1,NCBIGene:243277,161
ENSMUSG00000062209,Erbb4,erb-b2 receptor tyrosine kinase 4,NCBIGene:13869,980
ENSMUSG00000022705,Drd3,dopamine receptor D3,NCBIGene:13490,114
ENSMUSG00000033502,Cdc14a,CDC14 cell division cycle 14A,NCBIGene:229776,303
ENSMUSG00000029754,Dlx6,distal-less homeobox 6,NCBIGene:13396,1148
ENSMUSG00000003379,Cd79a,CD79A antigen (immunoglobulin-associated alpha),NCBIGene:12518,65
ENSMUSG00000021702,Thbs4,thrombospondin 4,NCBIGene:21828,49
ENSMUSG00000048126,Col6a3,"collagen, type VI, alpha 3",NCBIGene:12835,123
ENSMUSG00000025905,Oprk1,"opioid receptor, kappa 1",NCBIGene:18387,169
ENSMUSG00000022025,Cnmd,chondromodulin,NCBIGene:16840,192
ENSMUSG00000114028,9630002D21Rik,RIKEN cDNA 9630002D21 gene,,84
ENSMUSG00000035431,Sstr1,somatostatin receptor 1,NCBIGene:20605,789
ENSMUSG00000045871,Slitrk6,"SLIT and NTRK-like family, member 6",NCBIGene:239250,188
ENSMUSG00000003411,Rab3b,"RAB3B, member RAS oncogene family",NCBIGene:69908,742
ENSMUSG00000023169,Slc38a1,"solute carrier family 38, member 1",NCBIGene:105727,1557
ENSMUSG00000035305,Ror1,receptor tyrosine kinase-like orphan receptor 1,NCBIGene:26563,228
ENSMUSG00000091387,Gcnt4,"glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)",NCBIGene:218476,333
ENSMUSG00000020732,Rab37,"RAB37, member RAS oncogene family",NCBIGene:58222,463
ENSMUSG00000029335,Bmp3,bone morphogenetic protein 3,NCBIGene:110075,275
ENSMUSG00000012443,Kif11,kinesin family member 11,NCBIGene:16551,110
ENSMUSG00000022887,Masp1,mannan-binding lectin serine peptidase 1,NCBIGene:17174,345
ENSMUSG00000040969,Arhgef38,Rho guanine nucleotide exchange factor (GEF) 38,NCBIGene:77669,91
ENSMUSG00000020905,Usp43,ubiquitin specific peptidase 43,NCBIGene:216835,113
ENSMUSG00000031520,Vegfc,vascular endothelial growth factor C,NCBIGene:22341,299
ENSMUSG00000079466,Prdm12,PR domain containing 12,NCBIGene:381359,86
ENSMUSG00000042826,Fgf11,fibroblast growth factor 11,NCBIGene:14166,1045
ENSMUSG00000039095,En2,engrailed 2,NCBIGene:13799,73
ENSMUSG00000032502,Stac,src homology three (SH3) and cysteine rich domain,NCBIGene:20840,350
ENSMUSG00000021676,Iqgap2,IQ motif containing GTPase activating protein 2,NCBIGene:544963,161
ENSMUSG00000034037,Fgd5,"FYVE, RhoGEF and PH domain containing 5",NCBIGene:232237,608
ENSMUSG00000024990,Rbp4,"retinol binding protein 4, plasma",NCBIGene:19662,151
ENSMUSG00000028864,Hgf,hepatocyte growth factor,NCBIGene:15234,252
ENSMUSG00000028717,Tal1,T cell acute lymphocytic leukemia 1,NCBIGene:21349,281
ENSMUSG00000031491,Chrna6,"cholinergic receptor, nicotinic, alpha polypeptide 6",NCBIGene:11440,60
ENSMUSG00000027204,Fbn1,fibrillin 1,NCBIGene:14118,211
ENSMUSG00000024421,Lama3,"laminin, alpha 3",NCBIGene:16774,1020
ENSMUSG00000059049,Frem1,Fras1 related extracellular matrix protein 1,NCBIGene:329872,174
ENSMUSG00000045573,Penk,preproenkephalin,NCBIGene:18619,1138
ENSMUSG00000023484,Prph,peripherin,NCBIGene:19132,102
ENSMUSG00000026604,Ptpn14,"protein tyrosine phosphatase, non-receptor type 14",NCBIGene:19250,1009
ENSMUSG00000024985,Tcf7l2,"transcription factor 7 like 2, T cell specific, HMG box",NCBIGene:21416,519
ENSMUSG00000048332,Lhfp,lipoma HMGIC fusion partner,NCBIGene:108927,928
ENSMUSG00000019787,Trdn,triadin,NCBIGene:76757,545
ENSMUSG00000038668,Lpar1,lysophosphatidic acid receptor 1,NCBIGene:14745,710
ENSMUSG00000042429,Adora1,adenosine A1 receptor,NCBIGene:11539,878
ENSMUSG00000062309,Rpp25,ribonuclease P/MRP 25 subunit,NCBIGene:102614,1036
ENSMUSG00000043168,4930426D05Rik,RIKEN cDNA 4930426D05 gene,,145
ENSMUSG00000028339,Col15a1,"collagen, type XV, alpha 1",NCBIGene:12819,456
ENSMUSG00000022935,Grik1,"glutamate receptor, ionotropic, kainate 1",NCBIGene:14805,635
ENSMUSG00000097466,D430036J16Rik,RIKEN cDNA D430036J16 gene,NCBIGene:319405,60
ENSMUSG00000063727,Tnfrsf11b,"tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)",NCBIGene:18383,127
ENSMUSG00000022245,Skor1,SKI family transcriptional corepressor 1,NCBIGene:207667,113
ENSMUSG00000028370,Pappa,pregnancy-associated plasma protein A,NCBIGene:18491,664
ENSMUSG00000039385,Cdh6,cadherin 6,NCBIGene:12563,753
ENSMUSG00000042567,Nek10,NIMA (never in mitosis gene a)- related kinase 10,NCBIGene:674895,58
ENSMUSG00000047344,Lancl3,LanC lantibiotic synthetase component C-like 3 (bacterial),NCBIGene:236285,651
ENSMUSG00000031548,Sfrp1,secreted frizzled-related protein 1,NCBIGene:20377,474
ENSMUSG00000020614,Fam20a,"family with sequence similarity 20, member A",NCBIGene:208659,299
ENSMUSG00000024998,Plce1,"phospholipase C, epsilon 1",NCBIGene:74055,518
ENSMUSG00000031557,Plekha2,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2",NCBIGene:83436,1295
ENSMUSG00000023913,Pla2g7,"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)",NCBIGene:27226,1345
ENSMUSG00000057967,Fgf18,fibroblast growth factor 18,NCBIGene:14172,173
ENSMUSG00000031364,Grpr,gastrin releasing peptide receptor,NCBIGene:14829,59
ENSMUSG00000057719,Sh3rf2,SH3 domain containing ring finger 2,NCBIGene:269016,187
ENSMUSG00000035783,Acta2,"actin, alpha 2, smooth muscle, aorta",NCBIGene:11475,178
ENSMUSG00000045903,Npas4,neuronal PAS domain protein 4,NCBIGene:225872,708
ENSMUSG00000026235,Epha4,Eph receptor A4,NCBIGene:13838,1044
ENSMUSG00000041431,Ccnb1,cyclin B1,NCBIGene:268697,141
ENSMUSG00000048251,Bcl11b,B cell leukemia/lymphoma 11B,NCBIGene:58208,1005
ENSMUSG00000029822,Osbpl3,oxysterol binding protein-like 3,NCBIGene:71720,893
ENSMUSG00000090291,Lrrc10b,leucine rich repeat containing 10B,NCBIGene:278795,128
ENSMUSG00000039153,Runx2,runt related transcription factor 2,NCBIGene:12393,805
ENSMUSG00000049555,Tmie,transmembrane inner ear,NCBIGene:20776,222
ENSMUSG00000075707,Dio3,"deiodinase, iodothyronine type III",NCBIGene:107585,54
ENSMUSG00000022836,Mylk,"myosin, light polypeptide kinase",NCBIGene:107589,385
ENSMUSG00000033207,Mamdc2,MAM domain containing 2,NCBIGene:71738,111
ENSMUSG00000026726,Cubn,cubilin (intrinsic factor-cobalamin receptor),NCBIGene:65969,88
ENSMUSG00000037016,Frem2,Fras1 related extracellular matrix protein 2,NCBIGene:242022,171
ENSMUSG00000038650,Rnh1,ribonuclease/angiogenin inhibitor 1,NCBIGene:107702,1280
ENSMUSG00000003476,Crhr2,corticotropin releasing hormone receptor 2,NCBIGene:12922,232
ENSMUSG00000096225,Lhx8,LIM homeobox protein 8,NCBIGene:16875,90
ENSMUSG00000041957,Pkp2,plakophilin 2,NCBIGene:67451,174
ENSMUSG00000038257,Glra3,"glycine receptor, alpha 3 subunit",NCBIGene:110304,120
ENSMUSG00000024043,Arhgap28,Rho GTPase activating protein 28,NCBIGene:268970,152
ENSMUSG00000021200,Asb2,ankyrin repeat and SOCS box-containing 2,NCBIGene:65256,380
ENSMUSG00000025128,Bhlhe22,"basic helix-loop-helix family, member e22",NCBIGene:59058,113
ENSMUSG00000030525,Chrna7,"cholinergic receptor, nicotinic, alpha polypeptide 7",NCBIGene:11441,673
ENSMUSG00000029595,Lhx5,LIM homeobox protein 5,NCBIGene:16873,88
ENSMUSG00000027230,Creb3l1,cAMP responsive element binding protein 3-like 1,NCBIGene:26427,469
ENSMUSG00000037610,Kcnmb2,"potassium large conductance calcium-activated channel, subfamily M, beta member 2",NCBIGene:72413,632
ENSMUSG00000062372,Otof,otoferlin,NCBIGene:83762,92
ENSMUSG00000072568,Lratd2,LRAT domain containing 1,NCBIGene:399603,412
ENSMUSG00000028743,Akr7a5,"aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)",NCBIGene:110198,522
ENSMUSG00000020122,Egfr,epidermal growth factor receptor,NCBIGene:13649,566
ENSMUSG00000032845,Alpk2,alpha-kinase 2,NCBIGene:225638,224
ENSMUSG00000020734,Grin2c,"glutamate receptor, ionotropic, NMDA2C (epsilon 3)",NCBIGene:14813,865
ENSMUSG00000001911,Nfix,nuclear factor I/X,NCBIGene:18032,1477
ENSMUSG00000014813,Stc1,stanniocalcin 1,NCBIGene:20855,258
ENSMUSG00000067001,Serpinb7,"serine (or cysteine) peptidase inhibitor, clade B, member 7",NCBIGene:116872,86
ENSMUSG00000021239,Vsx2,visual system homeobox 2,NCBIGene:12677,68
ENSMUSG00000042761,Mrap2,melanocortin 2 receptor accessory protein 2,NCBIGene:244958,281
ENSMUSG00000043456,Zfp536,zinc finger protein 536,NCBIGene:243937,767
ENSMUSG00000055322,Tns1,tensin 1,NCBIGene:21961,1211
ENSMUSG00000034687,Fras1,Fraser extracellular matrix complex subunit 1,NCBIGene:231470,703
ENSMUSG00000026247,Ecel1,endothelin converting enzyme-like 1,NCBIGene:13599,132
ENSMUSG00000063681,Crb1,"crumbs family member 1, photoreceptor morphogenesis associated",NCBIGene:170788,64
ENSMUSG00000030595,Nfkbib,"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta",NCBIGene:18036,458
ENSMUSG00000001773,Folh1,folate hydrolase 1,NCBIGene:53320,396
ENSMUSG00000049538,Adamts16,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 16",NCBIGene:271127,482
ENSMUSG00000026315,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8",NCBIGene:20725,336
ENSMUSG00000027270,Lamp5,"lysosomal-associated membrane protein family, member 5",NCBIGene:76161,681
ENSMUSG00000021765,Fst,follistatin,NCBIGene:14313,353
ENSMUSG00000110027,C030029H02Rik,RIKEN cDNA C030029H02 gene,NCBIGene:77383,187
ENSMUSG00000026023,Cdk15,cyclin-dependent kinase 15,NCBIGene:271697,157
ENSMUSG00000069171,Nr2f1,"nuclear receptor subfamily 2, group F, member 1",NCBIGene:13865,1084
ENSMUSG00000038679,Trps1,transcriptional repressor GATA binding 1,NCBIGene:83925,1106
ENSMUSG00000049115,Agtr1a,"angiotensin II receptor, type 1a",NCBIGene:11607,66
ENSMUSG00000033774,Npbwr1,neuropeptides B/W receptor 1,NCBIGene:226304,190
ENSMUSG00000049630,C1ql3,C1q-like 3,NCBIGene:227580,256
ENSMUSG00000027966,Col11a1,"collagen, type XI, alpha 1",NCBIGene:12814,742
ENSMUSG00000030074,Gxylt2,glucoside xylosyltransferase 2,NCBIGene:232313,279
ENSMUSG00000029810,Tmem176b,transmembrane protein 176B,NCBIGene:65963,929
ENSMUSG00000048218,Amigo2,adhesion molecule with Ig like domain 2,NCBIGene:105827,917
ENSMUSG00000096014,Sox1,SRY (sex determining region Y)-box 1,NCBIGene:20664,1285
ENSMUSG00000051747,Ttn,titin,NCBIGene:22138,54
ENSMUSG00000055044,Pdlim1,PDZ and LIM domain 1 (elfin),NCBIGene:54132,252
ENSMUSG00000025089,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,NCBIGene:14585,622
ENSMUSG00000055866,Per2,period circadian clock 2,NCBIGene:18627,1229
ENSMUSG00000053475,Tnfaip6,tumor necrosis factor alpha induced protein 6,NCBIGene:21930,459
ENSMUSG00000029135,Fosl2,fos-like antigen 2,NCBIGene:14284,959
ENSMUSG00000074971,Fibin,fin bud initiation factor homolog (zebrafish),NCBIGene:67606,275
ENSMUSG00000037279,Ovol2,ovo like zinc finger 2,NCBIGene:107586,56
ENSMUSG00000021721,Htr1a,5-hydroxytryptamine (serotonin) receptor 1A,NCBIGene:15550,358
ENSMUSG00000018634,Crhr1,corticotropin releasing hormone receptor 1,NCBIGene:12921,1125
ENSMUSG00000021803,Cdhr1,cadherin-related family member 1,NCBIGene:170677,693
ENSMUSG00000042258,Isl1,"ISL1 transcription factor, LIM/homeodomain",NCBIGene:16392,64
ENSMUSG00000075324,Fign,fidgetin,NCBIGene:60344,302
ENSMUSG00000038156,Spon1,"spondin 1, (f-spondin) extracellular matrix protein",NCBIGene:233744,1024
ENSMUSG00000021835,Bmp4,bone morphogenetic protein 4,NCBIGene:12159,315
ENSMUSG00000064254,Ethe1,ethylmalonic encephalopathy 1,NCBIGene:66071,358
ENSMUSG00000061524,Zic2,zinc finger protein of the cerebellum 2,NCBIGene:22772,913
ENSMUSG00000025885,Myo5b,myosin VB,NCBIGene:17919,351
ENSMUSG00000114469,C730002L08Rik,RIKEN cDNA C730002L08 gene,NCBIGene:320155,67
ENSMUSG00000038692,Hoxb4,homeobox B4,NCBIGene:15412,64
ENSMUSG00000021541,Trpc7,"transient receptor potential cation channel, subfamily C, member 7",NCBIGene:26946,341
ENSMUSG00000034981,Parm1,prostate androgen-regulated mucin-like protein 1,NCBIGene:231440,491
ENSMUSG00000050063,Klk6,kallikrein related-peptidase 6,NCBIGene:19144,84
ENSMUSG00000042607,Asb4,ankyrin repeat and SOCS box-containing 4,NCBIGene:65255,107
ENSMUSG00000045005,Fzd5,frizzled class receptor 5,NCBIGene:14367,343
ENSMUSG00000027400,Pdyn,prodynorphin,NCBIGene:18610,289
ENSMUSG00000023945,Slc5a7,"solute carrier family 5 (choline transporter), member 7",NCBIGene:63993,107
ENSMUSG00000109473,B930025P03Rik,RIKEN cDNA B930025P03 gene,NCBIGene:320014,143
ENSMUSG00000026805,Barhl1,BarH like homeobox 1,NCBIGene:54422,28
ENSMUSG00000036109,Mbnl3,muscleblind like splicing factor 3,NCBIGene:171170,70
ENSMUSG00000060594,Layn,layilin,NCBIGene:244864,395
ENSMUSG00000030562,Nox4,NADPH oxidase 4,NCBIGene:50490,100
ENSMUSG00000024713,Pcsk5,proprotein convertase subtilisin/kexin type 5,NCBIGene:18552,148
ENSMUSG00000034903,Cobll1,Cobl-like 1,NCBIGene:319876,1062
ENSMUSG00000040828,Catsperd,cation channel sperm associated auxiliary subunit delta,NCBIGene:106757,192
ENSMUSG00000028487,Bnc2,basonuclin 2,NCBIGene:242509,220
ENSMUSG00000045027,Prss22,"protease, serine 22",NCBIGene:70835,35
ENSMUSG00000021318,Gli3,GLI-Kruppel family member GLI3,NCBIGene:14634,329
ENSMUSG00000053897,Slc39a8,"solute carrier family 39 (metal ion transporter), member 8",NCBIGene:67547,300
ENSMUSG00000007279,Scube2,"signal peptide, CUB domain, EGF-like 2",NCBIGene:56788,471
ENSMUSG00000090698,Apold1,apolipoprotein L domain containing 1,NCBIGene:381823,504
ENSMUSG00000040605,Bace2,beta-site APP-cleaving enzyme 2,NCBIGene:56175,154
ENSMUSG00000003746,Man1a,"mannosidase 1, alpha",NCBIGene:17155,1001
ENSMUSG00000051920,Rspo2,R-spondin 2,NCBIGene:239405,56
ENSMUSG00000024420,Zfp521,zinc finger protein 521,NCBIGene:225207,671
ENSMUSG00000027716,Trpc3,"transient receptor potential cation channel, subfamily C, member 3",NCBIGene:22065,620
ENSMUSG00000032006,Pdgfd,"platelet-derived growth factor, D polypeptide",NCBIGene:71785,318
ENSMUSG00000026890,Lhx6,LIM homeobox protein 6,NCBIGene:16874,95
ENSMUSG00000115424,D130079A08Rik,RIKEN cDNA D130079A08 gene,NCBIGene:320671,33
ENSMUSG00000018581,Dnah11,"dynein, axonemal, heavy chain 11",NCBIGene:13411,525
ENSMUSG00000050830,Vwc2,von Willebrand factor C domain containing 2,NCBIGene:319922,712
ENSMUSG00000050541,Adra1b,"adrenergic receptor, alpha 1b",NCBIGene:11548,247
ENSMUSG00000037428,Vgf,VGF nerve growth factor inducible,NCBIGene:381677,1169
ENSMUSG00000054453,Sytl5,synaptotagmin-like 5,NCBIGene:236643,163
ENSMUSG00000051617,Krt9,keratin 9,NCBIGene:107656,542
ENSMUSG00000038760,Trhr,thyrotropin releasing hormone receptor,NCBIGene:22045,182
ENSMUSG00000055110,A630012P03Rik,RIKEN cDNA A630012P03 gene,NCBIGene:100504594,50
ENSMUSG00000052504,Epha3,Eph receptor A3,NCBIGene:13837,1103
ENSMUSG00000036585,Fgf1,fibroblast growth factor 1,NCBIGene:14164,1222
ENSMUSG00000044216,Kcnj4,"potassium inwardly-rectifying channel, subfamily J, member 4",NCBIGene:16520,1246
ENSMUSG00000055540,Epha6,Eph receptor A6,NCBIGene:13840,1114
ENSMUSG00000050511,Oprd1,"opioid receptor, delta 1",NCBIGene:18386,814
ENSMUSG00000075334,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",NCBIGene:67874,991
ENSMUSG00000032232,Cgnl1,cingulin-like 1,NCBIGene:68178,885
ENSMUSG00000047507,Baiap3,BAI1-associated protein 3,NCBIGene:545192,488
ENSMUSG00000059991,Nptx2,neuronal pentraxin 2,NCBIGene:53324,684
ENSMUSG00000028019,Pdgfc,"platelet-derived growth factor, C polypeptide",NCBIGene:54635,581
ENSMUSG00000058400,Qrfpr,pyroglutamylated RFamide peptide receptor,NCBIGene:229214,115
ENSMUSG00000029697,Fezf1,Fez family zinc finger 1,NCBIGene:73191,104
ENSMUSG00000028138,Adh5,"alcohol dehydrogenase 5 (class III), chi polypeptide",NCBIGene:11532,878
ENSMUSG00000022371,Col14a1,"collagen, type XIV, alpha 1",NCBIGene:12818,157
ENSMUSG00000025780,Itih5,inter-alpha (globulin) inhibitor H5,NCBIGene:209378,831
ENSMUSG00000031074,Fgf3,fibroblast growth factor 3,NCBIGene:14174,77
ENSMUSG00000007877,Tcap,titin-cap,NCBIGene:21393,150
ENSMUSG00000034987,Hrh2,histamine receptor H2,NCBIGene:15466,891
ENSMUSG00000009376,Met,met proto-oncogene,NCBIGene:17295,345
ENSMUSG00000019997,Ccn2,cellular communication network factor 2,NCBIGene:14219,487
ENSMUSG00000001496,Nkx2-1,NK2 homeobox 1,NCBIGene:21869,38
ENSMUSG00000022382,Wnt7b,"wingless-type MMTV integration site family, member 7B",NCBIGene:22422,371
ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1",NCBIGene:12823,262
ENSMUSG00000041734,Kirrel,kirre like nephrin family adhesion molecule 1,NCBIGene:170643,642
ENSMUSG00000025946,Pth2r,parathyroid hormone 2 receptor,NCBIGene:213527,138
ENSMUSG00000022309,Angpt1,angiopoietin 1,NCBIGene:11600,363
ENSMUSG00000048763,Hoxb3,homeobox B3,NCBIGene:15410,235
ENSMUSG00000051029,Serpinb1b,"serine (or cysteine) peptidase inhibitor, clade B, member 1b",NCBIGene:282663,115
ENSMUSG00000037984,Neurod6,neurogenic differentiation 6,NCBIGene:11922,69
ENSMUSG00000060487,Samd5,sterile alpha motif domain containing 5,NCBIGene:320825,392
ENSMUSG00000058099,Nfam1,Nfat activating molecule with ITAM motif 1,NCBIGene:74039,291
ENSMUSG00000045312,Lhfpl2,lipoma HMGIC fusion partner-like 2,NCBIGene:218454,899
ENSMUSG00000063531,Sema3e,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E",NCBIGene:20349,638
ENSMUSG00000069372,Ctxn3,cortexin 3,NCBIGene:629147,635
ENSMUSG00000041380,Htr2c,5-hydroxytryptamine (serotonin) receptor 2C,NCBIGene:15560,96
ENSMUSG00000029193,Cckar,cholecystokinin A receptor,NCBIGene:12425,51
ENSMUSG00000019880,Rspo3,R-spondin 3,NCBIGene:72780,596
ENSMUSG00000026686,Lmx1a,LIM homeobox transcription factor 1 alpha,NCBIGene:110648,55
ENSMUSG00000028003,Lrat,lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase),NCBIGene:79235,133
ENSMUSG00000027978,Prss12,"protease, serine 12 neurotrypsin (motopsin)",NCBIGene:19142,402
ENSMUSG00000032440,Tgfbr2,"transforming growth factor, beta receptor II",NCBIGene:21813,655
ENSMUSG00000040181,Fmo1,flavin containing monooxygenase 1,NCBIGene:14261,466
ENSMUSG00000032034,Kcnj5,"potassium inwardly-rectifying channel, subfamily J, member 5",NCBIGene:16521,64
ENSMUSG00000042514,Klhl14,kelch-like 14,NCBIGene:225266,190
ENSMUSG00000024647,Cbln2,cerebellin 2 precursor protein,NCBIGene:12405,805
ENSMUSG00000024256,Adcyap1,adenylate cyclase activating polypeptide 1,NCBIGene:11516,219
ENSMUSG00000095139,Pou3f2,"POU domain, class 3, transcription factor 2",NCBIGene:18992,864
ENSMUSG00000028778,Hcrtr1,hypocretin (orexin) receptor 1,NCBIGene:230777,58
ENSMUSG00000027318,Adam33,a disintegrin and metallopeptidase domain 33,NCBIGene:110751,190
ENSMUSG00000046532,Ar,androgen receptor,NCBIGene:11835,229
ENSMUSG00000000805,Car4,carbonic anhydrase 4,NCBIGene:12351,710
ENSMUSG00000060371,Caln1,calneuron 1,NCBIGene:140904,208
ENSMUSG00000050840,Cdh20,cadherin 20,NCBIGene:23836,1067
ENSMUSG00000019230,Lhx9,LIM homeobox protein 9,NCBIGene:16876,191
ENSMUSG00000038331,Satb2,special AT-rich sequence binding protein 2,NCBIGene:212712,134
